type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight
kill;born_in_chaos_v1:baby_skeleton;;10;32;6;12;100
kill;born_in_chaos_v1:baby_spider;;10;32;6;12;100
kill;born_in_chaos_v1:barrel_zombie;;2;16;6;12;100
kill;born_in_chaos_v1:bloody_gadfly;;2;16;6;12;100
kill;born_in_chaos_v1:bone_imp;;2;16;6;12;100
kill;born_in_chaos_v1:bonescaller;;1;8;6;12;100
kill;born_in_chaos_v1:corpse_fish;;16;32;6;12;100
kill;born_in_chaos_v1:corpse_fly;;16;32;6;12;100
kill;born_in_chaos_v1:dark_vortex;;8;16;6;12;100
kill;born_in_chaos_v1:decaying_zombie;;16;32;6;12;100
kill;born_in_chaos_v1:decrepit_skeleton;;16;32;6;12;100
kill;born_in_chaos_v1:dire_hound_leader;;1;3;8;16;100
kill;born_in_chaos_v1:door_knight;;6;12;6;12;100
kill;born_in_chaos_v1:dread_hound;;8;16;6;12;100
kill;born_in_chaos_v1:fallen_chaos_knight;;4;12;6;12;100
kill;born_in_chaos_v1:glutton_fish;;8;16;6;12;100
kill;born_in_chaos_v1:infernal_spirit;;8;16;6;12;100
kill;born_in_chaos_v1:lifestealer;;1;2;8;16;100
kill;born_in_chaos_v1:maggot;;16;32;4;12;100
kill;born_in_chaos_v1:missioner;;1;2;8;16;100
kill;born_in_chaos_v1:mother_spider;;1;2;8;16;100
kill;born_in_chaos_v1:nightmare_stalker;;1;3;8;16;150
kill;born_in_chaos_v1:phantom_creeper;;6;12;6;12;100
kill;born_in_chaos_v1:restless_spirit;;8;16;6;12;100
kill;born_in_chaos_v1:scarlet_persecutor;;4;16;6;12;100
kill;born_in_chaos_v1:siamese_skeleton;;8;16;6;12;100
kill;born_in_chaos_v1:skeleton_demoman;;4;12;6;12;100
kill;born_in_chaos_v1:skeleton_thrasher;;8;16;7;14;100
kill;born_in_chaos_v1:spirit_guide;;4;12;6;12;100
kill;born_in_chaos_v1:supreme_bonescaller;;1;3;8;16;100
kill;born_in_chaos_v1:swarmer;;6;12;6;12;100
kill;born_in_chaos_v1:thornshell_crab;;8;16;6;12;100
kill;born_in_chaos_v1:zombie_bruiser;;8;16;7;14;100
kill;born_in_chaos_v1:zombie_clown;;8;16;7;14;100
kill;born_in_chaos_v1:zombie_fisherman;;6;12;6;12;100
kill;born_in_chaos_v1:zombie_lumberjack;;6;12;6;12;100
