type;item;name;minAmount;maxAmount;minCoins;maxCoins;weight
item;_spirit;Spirits;64;512;6;12;600
item;malum:sacred_spirit;;16;64;6;12;100
item;malum:wicked_spirit;;16;64;6;12;100
item;malum:arcane_spirit;;16;64;6;12;100
item;malum:eldritch_spirit;;16;64;6;12;100
item;malum:aerial_spirit;;16;64;6;12;100
item;malum:aqueous_spirit;;16;64;6;12;100
item;malum:earthen_spirit;;16;64;6;12;100
item;malum:infernal_spirit;;16;64;6;12;100
item;malum:runewood_log;;32;128;6;12;100
item;malum:exposed_runewood_log;;4;16;6;12;100
item;malum:refined_soulstone;;8;64;6;12;100
item;malum:hex_ash;;8;32;6;12;100
item;malum:blazing_quartz;;8;64;6;12;100
item;malum:cthonic_gold;;2;8;6;12;100
item;malum:refined_brilliance;;8;64;6;12;100
item;malum:ether;;8;32;6;12;100
item;malum:hallowed_gold_ingot;;8;16;6;12;100
item;malum:alchemical_impetus;;4;16;6;12;100
item;malum:exposed_soulwood_log;;2;8;6;12;50
item;malum:blighted_soulwood;;16;64;6;12;50
item;malum:runic_sapball;;8;32;6;12;100
item;malum:soul_stained_steel_ingot;;4;24;6;12;100
